Accession	length	HVR_length	ncbi_taxid	ncbi_phylum	Domain	Phylum	Class	Order	Family	Genus	Species	genome_size
ODS24477.1	962	722	62101	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Cellvibrionaceae	g__Endobugula	s__Endobugula sertula	3350348
SKC55791.1	479	239	36842	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Caminicellaceae	g__Maledivibacter	s__Maledivibacter halophilus	5802910
WP_026505804.1	589	349	1280685	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Butyrivibrio	s__Butyrivibrio sp000424545	3871453
ANI78412.1	277	37	1855519	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingobium	s__Sphingobium sp001658005	4261696
WP_101843034.1	469	229	2045014	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Halobacillaceae	g__Halobacillus_A	s__Halobacillus_A sp900240285	4170504
WP_102106509.1	403	163	1737570	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Oceaniglobus	s__Oceaniglobus roseus	4408274
SCM83662.1	399	159	307249	Firmicutes	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Sporomusales	f__Sporomusaceae	g__Sporomusa	s__Sporomusa sphaeroides	5020646
WP_084243365.1	275	35	244	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Planococcus	s__Planococcus okeanokoites	3299170
RCK81356.1	749	509	2268124	NA	d__Bacteria	p__Riflebacteria	c__Ozemobacteria	o__Ozemobacterales	f__Ozemobacteraceae	g__Ozemobacter	s__Ozemobacter sibiricus	5683244
WP_106781997.1	459	219	2086577	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Ureibacillus	s__Ureibacillus timonensis	4220244
WP_102788467.1	522	282	1450134	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Stenotrophomonas	s__Stenotrophomonas bentonitica_A	4364949
WP_062204862.1	267	27	577470	Actinobacteria	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Demequinaceae	g__Demequina	s__Demequina salsinemoris	3209522
OYX73404.1	260	20	1970330	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__Caulobacter sp002280875	4100120
PID81912.1	284	44	2044883	NA	d__Bacteria	p__Krumholzibacteriota	c__Krumholzibacteria	o__LZORAL124-64-63	f__LZORAL124-64-63	g__LZORAL124-64-63	s__LZORAL124-64-63 sp002747875	3362850
CCH09348.1	582	342	1167634	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Achromobacter	s__Achromobacter xylosoxidans	6916670
OYU70516.1	276	36	2015570	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	s__Phenylobacterium sp002256425	3471236
WP_057773096.1	279	39	1742359	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__DSM-18226	g__Cytobacillus	s__Cytobacillus dafuensis	4916069
WP_026527180.1	468	228	1280664	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Butyrivibrio	s__Butyrivibrio sp000423925	4705279
KSV80168.1	591	351	1230631	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Sinorhizobium	s__Sinorhizobium fredii	6579820
KMQ51889.1	279	39	1008392	Fibrobacteres	d__Bacteria	p__Fibrobacterota	c__Chitinivibrionia	o__Chitinivibrionales	f__Chitinispirillaceae	g__Chitinispirillum	s__Chitinispirillum alkaliphilum	4434773
WP_065978737.1	399	159	570156	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Pseudoalteromonas	s__Pseudoalteromonas lipolytica	4387864
KNC09732.1	426	186	1681196	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Superficieibacter	s__Superficieibacter sp001187865	4256263
OOZ92129.1	479	239	1396	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae_G	g__Bacillus_A	s__Bacillus_A cereus	5204644
WP_087507601.1	525	285	508461	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Neiellaceae	g__Neiella	s__Neiella marina	4247794
PCJ18373.1	273	33	1913989	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__GCA-2401725	s__GCA-2401725 sp002401725	3227848
PCJ26656.1	470	230	2030880	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__SAR86	f__TMED112	g__TMED112	s__TMED112 sp002716745	983082
SME87854.1	310	70	1513793	Proteobacteria	d__Bacteria	p__Bdellovibrionota	c__Oligoflexia	o__Oligoflexales	f__Oligoflexaceae	g__Pseudobacteriovorax	s__Pseudobacteriovorax antillogorgiicola	7271010
DAB05088.1	699	459	1916221	Candidatus Melainabacteria	d__Bacteria	p__Cyanobacteria	c__Vampirovibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__CAG-196	s__CAG-196 sp002102975	2128190
WP_026687815.1	270	30	146938	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__Azovibrio	s__Azovibrio restrictus_A	1871487
PKN24225.1	273	33	2013749	Proteobacteria	d__Bacteria	p__Desulfobacterota	c__Desulfobacteria	o__Desulfatiglandales	f__HGW-15	g__HGW-15	s__HGW-15 sp002840535	5344522
WP_104557496.1	501	261	2071710	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter sichuanensis	4686183
AQR65318.1	518	278	1938604	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Aquaspirillaceae	g__Rivicola	s__Rivicola sp002002905	3962240
WP_110034639.1	325	85	274592	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Hoeflea	s__Hoeflea marina	5261965
WP_062690194.1	429	189	875932	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Photobacterium	s__Photobacterium sanguinicancri	5310194
GBD95716.1	623	383	2005714	NA	d__Bacteria	p__Nitrospirota	c__Thermodesulfovibrionia	o__UBA6902	f__UBA6902	g__BMS3ABIN06	s__BMS3ABIN06 sp002897895	2975464
WP_085059099.1	269	29	1553	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_AO	s__Clostridium_AO tetanomorphum	4490777
WP_039045262.1	380	140	703	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Plesiomonas	s__Plesiomonas shigelloides	3960408
CAQ80201.1	385	145	316275	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Aliivibrio	s__Aliivibrio salmonicida_A	4655660
WP_026497332.1	477	237	1280676	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Butyrivibrio	s__Butyrivibrio sp000424265	4254596
EAR60085.1	601	361	207954	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Nitrincolaceae	g__Neptuniibacter	s__Neptuniibacter caesariensis	3924755
RHW20072.1	279	39	2078689	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_D	s__Pseudomonas_D jilinensis	3989683
RGE43225.1	397	157	285	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Comamonas	s__Comamonas testosteroni_C	5952523
OZB37874.1	275	35	1970316	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Alishewanella	s__Alishewanella agri	2882072
SAK99807.1	386	146	1777138	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Caballeronia	s__Caballeronia fortuita	7360810
SMH62969.1	597	357	193	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Azospirillales	f__Azospirillaceae	g__Azospirillum	s__Azospirillum lipoferum_A	7770695
BAL04350.1	365	125	69484	Actinobacteria	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Micromonosporaceae	g__Actinoplanes	s__Actinoplanes liguriensis	12446298
WP_082058009.1	627	387	1609758	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__Novosphingobium sp000876675	6606532
WP_018939895.1	372	132	545264	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Ectothiorhodospirales	f__Thioalkalivibrionaceae	g__Thioalkalivibrio	s__Thioalkalivibrio sp000377845	3002444
PNS88945.1	496	256	1321759	Proteobacteria	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter_D	s__Campylobacter_D jejuni	1680820
WP_033164223.1	464	224	1449050	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Anaerocolumna	s__Anaerocolumna sp000702945	6360979
KLO22885.1	398	158	1428448	Thermotogae	d__Bacteria	p__Thermotogota	c__Thermotogae	o__Petrotogales	f__Petrotogaceae	g__Marinitoga	s__Marinitoga sp001021165	2435399
WP_078552967.1	469	229	1912214	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Bacillaceae_F	g__Bacillus_AO	s__Bacillus_AO sp002019795	4751847
WP_057987251.1	281	41	459347	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Solibacillus	s__Solibacillus cecembensis	4782966
OAT78628.1	288	48	1691903	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Mangrovibacter	s__Mangrovibacter phragmitis	4947475
GBE25552.1	271	31	2005725	NA	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__UBA5794	f__UBA5794	g__BMS3BBIN02	s__BMS3BBIN02 sp002898115	2220241
CDB69440.1	270	30	1262887	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospira	s__Lachnospira sp000436535	2833000
WP_097585867.1	319	79	2035454	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Rhizobium	s__Rhizobium esperanzae	6440361
WP_082005914.1	587	347	1339236	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Ensifer	s__Ensifer sp000799055	6946259
WP_010364941.1	261	21	43655	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Pseudoalteromonas	s__Pseudoalteromonas sp003590335	5334082
RHB48111.1	575	335	2292355	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Exiguobacterales	f__Exiguobacteraceae	g__Exiguobacterium	s__Exiguobacterium sp003467445	2830712
ETA51650.1	432	192	1169855	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__AWRV01	s__AWRV01 sp000504185	5232338
PFW52006.1	361	121	1404	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae_H	g__Priestia	s__Priestia megaterium	5888189
WP_090130121.1	477	237	1100719	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Limnohabitans_A	s__Limnohabitans_A sp001269365	2859441
PIP71693.1	285	45	1974050	Nitrospinae	d__Bacteria	p__Nitrospinota	c__Nitrospinia	o__Nitrospinales	f__Nitrospinaceae	g__LS-NOB	s__LS-NOB sp002786505	2393470
WP_106263208.1	448	208	1652492	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Donghicola	s__Donghicola tyrosinivorans	4687719
WP_067212015.1	552	312	1476	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Sporosarcina	s__Sporosarcina psychrophila	4674191
WP_096049611.1	472	232	78327	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E mosselii	5751088
WP_062137910.1	376	136	327095	Actinobacteria	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Demequinaceae	g__Demequina	s__Demequina aestuarii	2790392
WP_096190269.1	269	29	2011013	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Salisediminibacteriaceae	g__FJAT-44876	s__FJAT-44876 sp002335745	5512723
EDM82396.1	297	57	391597	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Limnobacter	s__Limnobacter sp000170915	3390271
AGW13845.1	493	253	1121448	Proteobacteria	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Megalodesulfovibrio	s__Megalodesulfovibrio gigas	3788225
OEW12998.1	530	290	1903289	Proteobacteria	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter_D	s__Campylobacter_D jejuni	1798356
WP_064601648.1	406	166	265901	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Photobacterium	s__Photobacterium marinum	5684538
SMX26122.1	407	167	1037362	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Pelagimonas	s__Pelagimonas phthalicica	4886351
WP_089832204.1	382	142	306540	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Amphibacillaceae	g__Halolactibacillus	s__Halolactibacillus halophilus	2704097
PID72097.1	496	256	894	Proteobacteria	d__Bacteria	p__Desulfobacterota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfobulbaceae	g__Desulfobulbus_A	s__Desulfobulbus_A propionicus_A	1302452
WP_036514326.1	276	36	1479238	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Maricaulaceae	g__Glycocaulis	s__Glycocaulis sp000744995	2743966
WP_099233593.1	464	224	33940	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Anoxybacillaceae	g__Geobacillus	s__Geobacillus thermodenitrificans	3505276
PUE59827.1	717	477	323423	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Limnohabitans	s__Limnohabitans curvus	3029942
PZU51772.1	264	24	1912891	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingobium	s__Sphingobium sp001650725	3471444
SMX42627.1	408	168	696760	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Pelagimonas	s__Pelagimonas varians	4897107
WP_115136600.1	268	28	560080	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Shewanellaceae	g__Shewanella	s__Shewanella corallii	5215037
OJU63487.1	472	232	1895717	Armatimonadetes	d__Bacteria	p__Armatimonadota	c__Fimbriimonadia	o__Fimbriimonadales	f__Fimbriimonadaceae	g__55-13	s__55-13 sp001898035	4525478
PLX18718.1	641	401	2053465	Candidatus Muirbacteria	d__Bacteria	p__Muirbacteria	c__Muirbacteriia	o__Muirbacteriales	f__Muirbacteriaceae	g__Muirbacterium	s__Muirbacterium halophilum	2928565
CUX21704.1	401	161	1631629	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Agrobacterium	s__Agrobacterium sp900012625	6145985
WP_098820136.1	447	207	1890302	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae_G	g__Bacillus_A	s__Bacillus_A wiedmannii	5513190
WP_108448572.1	824	584	2082393	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Halomonadaceae	g__Halomonas	s__Halomonas litopenaei	5125207
WP_104130644.1	378	138	2048289	Actinobacteria	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Cryobacterium	s__Cryobacterium flavum	4104207
WP_098259017.1	458	218	1396	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae_G	g__Bacillus_A	s__Bacillus_A cereus	5204644
PZU57326.1	286	46	1912891	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingobium	s__Sphingobium sp001650725	3471444
KMQ51218.1	253	13	1008392	Fibrobacteres	d__Bacteria	p__Fibrobacterota	c__Chitinivibrionia	o__Chitinivibrionales	f__Chitinispirillaceae	g__Chitinispirillum	s__Chitinispirillum alkaliphilum	4434773
KXS35233.1	471	231	1794809	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Idiomarina	s__Idiomarina baltica	2723656
WP_083593332.1	583	343	1317114	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Jiella	s__Jiella sp002088275	5841673
SDP97597.1	561	321	1198456	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E guguanensis	5084171
PID59328.1	281	41	1913989	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__GCA-2401725	s__GCA-2401725 sp002401725	3227848
WP_042355983.1	400	160	1499680	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__DSM-18226	g__Neobacillus	s__Neobacillus rubiinfantis	4309569
PKO64458.1	403	163	2013707	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Hydrogenophaga	s__Hydrogenophaga sp002840835	5792885
WP_076717455.1	266	26	1897630	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Nitrincolaceae	g__Motiliproteus	s__Motiliproteus sp001968815	6003883
PIR31094.1	206	-34	1973928	Proteobacteria	d__Bacteria	p__Bdellovibrionota	c__Bacteriovoracia	o__Bacteriovoracales	f__Bacteriovoracaceae	g__UBA4207	s__UBA4207 sp002787775	3328815
OHE74498.1	267	27	1802430	Verrucomicrobia	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__GWC2-42-7-A	g__GWC2-42-7-A	s__GWC2-42-7-A sp001831055	1296502
PCH72560.1	273	33	1904441	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__CACKLF01	s__CACKLF01 sp002725175	2435294
PCJ40841.1	474	234	2030880	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__SAR86	f__TMED112	g__TMED112	s__TMED112 sp002716745	983082
OQY02654.1	1040	800	1971625	Proteobacteria	d__Bacteria	p__Desulfobacterota	c__Desulfobacteria	o__Desulfobacterales	f__Desulfobacteraceae	g__4572-130	s__4572-130 sp002084425	1943540
DAB02860.1	1280	1040	1916229	Candidatus Melainabacteria	d__Bacteria	p__Cyanobacteria	c__Vampirovibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__CAG-196	s__CAG-196 sp002102975	2476719
AJD49347.1	503	263	391936	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Alcanivoracaceae	g__Alcanivorax_A	s__Alcanivorax_A pacificus	4168427
SHN66325.1	347	107	1121883	Thermotogae	d__Bacteria	p__Thermotogota	c__Thermotogae	o__Thermotogales	f__Fervidobacteriaceae	g__Fervidobacterium	s__Fervidobacterium gondwanense	2146020
WP_043532340.1	296	56	1166948	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Halomonadaceae	g__Halomonas_A	s__Halomonas_A xinjiangensis	3786651
WP_053980621.1	710	470	1513270	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Cellvibrionaceae	g__Marinagarivorans	s__Marinagarivorans algicola	4020832
PKQ13784.1	286	46	2013655	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Roseovarius	s__Roseovarius sp002842985	4019979
WP_029322845.1	492	252	1506994	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Butyrivibrio	s__Butyrivibrio sp000703165	4470907
WP_017522444.1	404	164	305977	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Pusillimonas	s__Pusillimonas noertemannii	4203487
SCI44069.1	518	278	59620	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Clostridioides	s__Clostridioides difficile_A	3970979
PKL82209.1	279	39	2013810	Ignavibacteriae	d__Bacteria	p__Bacteroidota	c__Ignavibacteria	o__Ignavibacteriales	f__Melioribacteraceae	g__Fen-1258	s__Fen-1258 sp002839795	3363671
WP_066594967.1	386	146	670052	Actinobacteria	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Cryobacterium	s__Cryobacterium arcticum_A	4351229
WP_114804405.1	300	60	433924	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Pseudacidovorax	s__Pseudacidovorax intermedius	5975233
RAK61344.1	276	36	1813876	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	s__Phenylobacterium hankyongense	3841079
ESE81260.1	507	267	1173950	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Salmonella	s__Salmonella enterica	4581366
CDG21691.1	360	120	1354304	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Xenorhabdus	s__Xenorhabdus poinarii	3659523
OGS73198.1	501	261	1798246	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Gallionellaceae	g__Gallionella	s__Gallionella sp001801085	2337118
PTQ50760.1	464	224	1484	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__DSM-22653	f__DSM-22653	g__Hydrogenibacillus	s__Hydrogenibacillus schlegelii	2735157
WP_095110702.1	581	341	2008983	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E sp900187645	5304569
WP_042413561.1	413	173	225991	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Comamonas	s__Comamonas aquatica	3764434
WP_050612142.1	310	70	1601	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Ligilactobacillus	s__Ligilactobacillus agilis	2090135
WP_062713612.1	281	41	646534	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Enterovibrio	s__Enterovibrio marinus	5690703
CDD34730.1	198	-42	1262945	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eubacterium_F	s__Eubacterium_F sp000434115	2447989
WP_117233455.1	377	137	2231648	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Vibrio	s__Vibrio maerlii	4758008
WP_069386616.1	287	47	1710	Actinobacteria	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Cellulomonadaceae	g__Cellulomonas	s__Cellulomonas cellulans_A	4576205
KMK77432.1	278	38	79884	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Bacillaceae_D	g__Alkalihalobacillus	s__Alkalihalobacillus pseudalcaliphilus	4487412
WP_048606819.1	369	129	587	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Providencia	s__Providencia rettgeri_D	5257078
PZU11523.1	536	296	28214	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__Sphingomonas adhaesiva	3877822
WP_102028709.1	273	33	2042310	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Alkalibacillaceae	g__OEQK01	s__OEQK01 sp900240405	3492078
WP_081441981.1	372	132	314344	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Zetaproteobacteria	o__Mariprofundales	f__Mariprofundaceae	g__Mariprofundus	s__Mariprofundus ferrooxydans	2852864
KMQ49896.1	282	42	1008392	Fibrobacteres	d__Bacteria	p__Fibrobacterota	c__Chitinivibrionia	o__Chitinivibrionales	f__Chitinispirillaceae	g__Chitinispirillum	s__Chitinispirillum alkaliphilum	4434773
